date,open,high,low,close,volume,average,barCount
2024-12-09 10:25:00,525.11,525.11,523.88,524.13,30624,524.406,191
2024-12-09 10:30:00,524.08,524.62,523.9,523.96,27835,524.304,193
2024-12-09 10:35:00,523.96,524.12,523.0,523.43,41423,523.438,301
2024-12-09 10:40:00,523.45,524.35,523.4,523.91,23941,524.119,155
2024-12-09 10:45:00,523.92,524.02,523.13,523.34,19818,523.648,141
2024-12-09 10:50:00,523.33,523.47,522.83,523.3,14472,523.186,100
2024-12-09 10:55:00,523.26,523.26,522.92,522.96,12277,523.047,77
2024-12-09 11:00:00,522.97,523.43,522.38,522.52,24950,522.801,195
2024-12-09 11:05:00,522.61,522.62,521.49,521.5,28710,522.219,186
2024-12-09 11:10:00,521.56,522.17,521.23,522.14,48353,521.537,265
2024-12-09 11:15:00,522.12,522.5,521.83,522.47,24306,522.132,171
2024-12-09 11:20:00,522.53,522.99,522.47,522.99,19989,522.751,147
2024-12-09 11:25:00,522.97,523.25,522.81,522.93,19599,522.998,113
2024-12-09 11:30:00,522.85,523.13,522.85,522.93,10105,523.002,66
2024-12-09 11:35:00,523.02,523.09,522.68,522.85,11675,522.848,74
2024-12-09 11:40:00,522.72,522.85,522.35,522.4,9185,522.687,52
2024-12-09 11:45:00,522.48,522.89,522.48,522.6,5184,522.692,33
2024-12-09 11:50:00,522.79,523.14,522.7,522.91,22216,522.933,140
2024-12-09 11:55:00,522.91,523.19,522.91,523.07,15995,523.042,76
2024-12-09 12:00:00,522.98,523.19,522.81,522.86,12378,522.988,84
2024-12-09 12:05:00,522.87,523.16,522.58,523.13,7108,522.799,53
2024-12-09 12:10:00,523.11,523.11,522.91,523.0,4152,523.021,27
2024-12-09 12:15:00,522.97,522.97,522.54,522.56,4190,522.682,31
2024-12-09 12:20:00,522.56,522.74,522.5,522.67,5228,522.621,39
2024-12-09 12:25:00,522.72,522.9,522.5,522.75,3607,522.647,27
2024-12-09 12:30:00,522.79,522.8,522.55,522.66,2184,522.629,13
2024-12-09 12:35:00,522.69,522.83,522.64,522.83,1678,522.747,16
2024-12-09 12:40:00,522.83,523.09,522.83,522.94,3982,522.951,25
2024-12-09 12:45:00,522.91,523.05,522.86,523.04,2888,522.966,20
2024-12-09 12:50:00,523.13,523.3,522.88,522.88,4913,523.154,39
2024-12-09 12:55:00,522.98,522.99,522.45,522.45,3991,522.72,27
2024-12-09 13:00:00,522.37,522.49,522.13,522.32,12480,522.335,86
2024-12-09 13:05:00,522.37,522.61,522.37,522.41,7472,522.465,52
2024-12-09 13:10:00,522.51,522.73,522.41,522.73,6490,522.543,39
