date,time,type,trigger_level,entry_price,orb_high,orb_low,orb_range,volume,rsi,confidence_score,confidence_level,breakout_pct
2024-12-03,2024-12-03 10:00:00,LONG,515.1,515.18,515.1,513.4,1.7000000000000455,7095,61.97183098591392,8.5,HIGH,4.705882352936771
2024-12-04,2024-12-04 09:55:00,LONG,520.75,520.76,520.75,519.6,1.1499999999999773,4944,70.67307692307911,2.0,LOW,0.8695652173905307
2024-12-05,2024-12-05 09:51:00,SHORT,522.81,522.76,523.65,522.81,0.8400000000000318,7249,33.99999999999939,4.0,MEDIUM,5.952380952375313
2024-12-06,2024-12-06 09:51:00,LONG,525.01,525.15,525.01,522.39,2.6200000000000045,14590,85.33834586466199,1.5,LOW,5.343511450381149
2024-12-09,2024-12-09 10:26:00,SHORT,524.76,524.6,526.31,524.76,1.5499999999999545,5066,29.951690821257188,3.0,LOW,10.322580645159539
2024-12-10,2024-12-10 10:08:00,LONG,524.94,525.1,524.94,522.8,2.1400000000001,2000,83.88429752066145,5.0,MEDIUM,7.476635514016855
2024-12-11,2024-12-11 09:51:00,LONG,527.1,527.26,527.1,524.59,2.509999999999991,12842,78.26086956521617,5.0,MEDIUM,6.374501992030628
2024-12-12,2024-12-12 10:09:00,SHORT,526.77,526.65,527.71,526.77,0.9400000000000546,8264,40.196078431372385,4.0,MEDIUM,12.765957446808255
2024-12-16,2024-12-16 09:53:00,LONG,534.36,534.53,534.36,533.04,1.32000000000005,18737,57.837837837837235,5.0,MEDIUM,12.878787878784289
2024-12-17,2024-12-17 10:03:00,SHORT,535.04,534.85,537.09,535.04,2.050000000000068,11197,29.695431472081793,2.5,LOW,9.268292682923637
2024-12-18,2024-12-18 10:05:00,LONG,535.66,535.7,535.66,533.48,2.17999999999995,2851,71.42857142857143,6.0,HIGH,1.834862385324689
2024-12-19,2024-12-19 09:54:00,SHORT,518.7,518.55,521.75,518.7,3.0499999999999545,19484,41.628959276017994,9.5,HIGH,4.918032786888301
2024-12-20,2024-12-20 10:05:00,LONG,512.84,513.04,512.84,509.81,3.0300000000000296,19629,76.75906183368895,1.5,LOW,6.600660066004285
2024-12-23,2024-12-23 09:52:00,SHORT,518.44,518.29,520.83,518.44,2.3899999999999864,18376,28.65853658536446,7.0,HIGH,6.276150627618904
2024-12-24,2024-12-24 09:56:00,LONG,526.22,526.44,526.22,524.19,2.0299999999999727,1703,73.52941176470719,2.0,LOW,10.83743842364681
2024-12-26,2024-12-26 09:51:00,SHORT,528.21,528.1,529.47,528.21,1.259999999999991,5771,27.692307692308503,5.0,MEDIUM,8.730158730159875
2024-12-27,2024-12-27 10:00:00,SHORT,522.17,521.64,526.45,522.17,4.280000000000086,15495,34.38155136268328,4.5,MEDIUM,12.38317757009257
2024-12-30,2024-12-30 09:57:00,SHORT,512.88,512.86,515.68,512.88,2.7999999999999545,11014,45.05494505494588,8.5,HIGH,0.7142857142850763
2024-12-31,2024-12-31 10:07:00,SHORT,514.82,514.76,517.62,514.82,2.7999999999999545,14665,40.78341013824968,8.5,HIGH,2.142857142859289
2025-01-02,2025-01-02 09:54:00,LONG,514.91,515.13,514.91,510.03,4.8799999999999955,24081,90.09009009008909,1.5,LOW,4.508196721312039
2025-01-03,2025-01-03 10:20:00,SHORT,512.99,512.92,516.58,512.99,3.590000000000032,12330,12.528473804099235,6.0,HIGH,1.9498607242353594
2025-01-06,2025-01-06 09:55:00,LONG,526.5,526.53,526.5,523.79,2.7100000000000364,6186,61.29032258064463,8.5,HIGH,1.1070110701096794
2025-01-07,2025-01-07 10:00:00,SHORT,523.36,522.3,525.99,523.36,2.6299999999999955,23953,24.95309568480306,2.0,LOW,40.30418250950802
2025-01-08,2025-01-08 10:02:00,LONG,515.8,515.97,515.8,513.54,2.259999999999991,20027,60.13513513513539,9.5,HIGH,7.522123893808559
2025-01-10,2025-01-10 10:00:00,SHORT,507.19,506.39,511.57,507.19,4.3799999999999955,62235,28.000000000000355,6.0,HIGH,18.26484018264868
